title,division,department,salary
Vice President,Finance,Finance,387500
President,President's Office,President's Office,353636
Dean,Library Services,Library Services,229507
Professor,Dental Hygiene,Allied Health,228194
Dean,Agricultural Science,Agricultural Science,214484
Professor,Counselor,Dean of Students Office,203209
Professor,Political Science,Social Sciences,188593
Vice President,Academic Affairs,Academic Affairs,181624
Vice President,IT Services,IT Services,179932
Professor,Genetics/Biology,Math/Science,177585
Associate Vice President,Academic Affairs,Academic Affairs,172538
Vice President,Student Services,Student Services,170356
Professor,LAN Management,Business and Information Tech,167986
Vice President,Human Resources,Human Resources,166708
Vice President,Facilities & Security,Facilities & Security,160961
Vice President,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,158256
General Manager,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,157335
Professor,Biology/Anatomy/Physiology,Linn County Regional Center,156722
Professor,Diesel Truck Technology,Agricultural Science,155800
Vice President,Foundation/Development,Foundation/Development,154876
Office Assistant,Skills to Employment,Skills to Employment,147221
Instructor/Coordinator,HSDL Program,Secondary Programs,143689
Executive Dean,K-12 Partnerships,K-12 Partnerships,140056
Professor,Accounting,Business and Information Tech,137183
Executive Director,IT Services,IT Services,137179
Dean,Allied Health,Allied Health,136280
Associate Vice President,Academic Affairs,Academic Affairs,135838
Executive Director,Communications & Marketing,Communications & Marketing,133390
Curriculum/Assessment Specialist,Academic Affairs,Academic Affairs,132853
Associate Professor,Welding,Industrial Technologies,131208
Professor,Math,Math/Science,130761
Professor,Physical Education/Recreation,Math/Science,130548
Associate Vice President,Dean of Students Office,Dean of Students Office,130181
Prof/Science 174,Math/Science,Math/Science,130140
Associate Vice President,Facilities & Security,Facilities & Security,129828
Executive Director,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,129790
Professor,Communication,Communication/English/Media,128912
Professor,Dental Assisting,Allied Health,128784
Associate Professor,Management,Business and Information Tech,128648
Professor,Animal Health Technology,Agricultural Science,128243
Professor,Physical Education/Recreation,Math/Science,127589
Dean,Nursing Programs,Nursing Programs,126863
Dean,Arts/Humanities,Arts/Humanities,126549
Professor,Biology/Anatomy/Physiology,Math/Science,126476
Senior Director,Inst Effectiveness/Research,Inst Effectiveness/Research,126448
Executive Director,IT Services,IT Services,125079
Professor,Mathematics,Math/Science,124616
Dean,International Programs,International Programs,124191
Dean,Social Sciences,Social Sciences,123813
Professor,History,Social Sciences,122872
Professor,Marketing,Business and Information Tech,122311
Professor,Electrical Engineering,Industrial Technologies,120562
Professor,Industrial Maintenance Technology,Industrial Technologies,119998
Professor,Surgical Technology,Allied Health,119789
Prof/Film Studies 201,Arts/Humanities,Arts/Humanities,119278
Dean,Distance Learning,Distance Learning,119275
Professor,Psychology,Social Sciences,118681
Senior Director,IT Services,IT Services,118512
Professor,Graphic Communications Technology,Business and Information Tech,117823
Professor,English,Communication/English/Media,117732
Associate Dean,Iowa City Campus,Iowa City Campus,117379
Senior Director,Finance,Finance,117131
Vice President,Inst Effectiveness/Research,Inst Effectiveness/Research,117109
Professor,Philosophy,Arts/Humanities,116921
Dean,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,116434
Professor,Physical Therapy,Allied Health,116273
Dean,Secondary Programs,Secondary Programs,116223
Director,KCCK-FM Radio Station,KCCK-FM Radio Station,115567
Director,Regional Center at U of I,Regional Center at U of I,114916
Library Technical Specialist,Library Services,Library Services,114753
Professor,History,Social Sciences,114690
Associate Professor,Information Technology,Business and Information Tech,114273
Professor,Automotive Technology,Industrial Technologies,114188
Director,Athletics,Athletics,112976
Professor,Microbiology,Math/Science,112930
Associate Professor,Interior Design/Apparel Merchandising,Business and Information Tech,112244
Coordinator,Student Support,Learning Services,111673
Professor,Human Services,Social Sciences,111233
Professor,Horticulture,Agricultural Science,110636
Professor,Construction Technology,Industrial Technologies,110342
Professor,Marketing,Business and Information Tech,110186
Professor,ELA,International Programs,109380
Professor,Hospitality,Hospitality Arts,109313
Dean,Business and Information Tech,Business and Information Tech,109067
Dean,Dean of Students Office,Dean of Students Office,108545
Dean,Communication/English/Media,Communication/English/Media,108430
Senior Director,Enrollment Management,Enrollment Management,108182
Associate Professor,Hospitality,Hospitality Arts,108135
Assistant Professor,Information Technology,Business and Information Tech,108071
Assistant Professor,Advanced Manufacturing Academy,Regional Center at U of I,108056
Associate Professor,Anatomy & Physiology,Math/Science,108024
Professor,English,Communication/English/Media,107979
Senior Director,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,107977
Associate Professor,Art,Arts/Humanities,107946
Senior Director,Facilities & Security,Facilities & Security,107852
Dean,Math/Science,Math/Science,107573
Associate Dean,International Programs,International Programs,107570
Architect,Facilities & Security,Facilities & Security,107383
Director,Jones County Regional Center,Jones County Regional Center,107303
Professor,Paralegal,Social Sciences,107278
Professor,Spanish,Arts/Humanities,107135
Dean,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,106807
Professor,Sociology,Social Sciences,106673
Assistant Professor,Education Careers,Social Sciences,106640
Senior Director,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,106561
Professor,Physics,Math/Science,106545
Assistant Professor,Welding,Industrial Technologies,106417
Professor,Horticulture,Agricultural Science,106400
Prof/Spanish 174,International Programs,International Programs,106353
Professor,Dental Hygiene,Allied Health,106132
Professor,CNC Machining,Industrial Technologies,105905
Professor,Mathematics,Math/Science,105850
Professor,Math,Math/Science,105674
Director,Linn County Regional Center,Linn County Regional Center,104957
Professor,Ag Production Management,Agricultural Science,104622
Professor,Chemistry,Math/Science,104237
Professor,Medical Assisting,Allied Health,103935
Associate Professor,Nursing,Nursing Programs,103711
Senior Director,Finance,Finance,103526
Professor,Welding,Industrial Technologies,103257
Director,Communications & Marketing,Communications & Marketing,103111
Professor,Reading,Communication/English/Media,103027
Associate Dean,Arts/Humanities,Arts/Humanities,103010
Professor,Biology/Anatomy/Physiology,Math/Science,102980
Assoc Prof/Comm 174,Communication/English/Media,Communication/English/Media,102946
Senior Systems Engineer,IT Services,IT Services,102841
Director,Finance,Finance,102625
Director,Grants,Continuing Ed/Training Svcs,102507
Professor,Psychology,Social Sciences,102416
Associate Professor,Information Technology,Business and Information Tech,102271
Associate Professor,Accounting,Business and Information Tech,102031
Instructor,Management,Business and Information Tech,101622
Vice President,Finance,Finance,101613
Director,Food & Beverage,The Hotel At Kirkwood Center,101260
Associate Professor,Dental Assisting,Allied Health,101212
Assistant Professor,Biology,Math/Science,100808
Associate Professor,Occupational Therapy Assistant,Allied Health,100555
Assistant Professor,Medical Lab Technology,Allied Health,100278
Professor,Occupational Therapy Assistant,Allied Health,100276
Professor,Ag Production Management,Agricultural Science,100154
Professor,Math,Math/Science,100131
Associate Professor,Respiratory Therapy,Allied Health,99840
Associate Professor,Biological/Physical Sciences,Math/Science,99840
Professor,English,Communication/English/Media,99474
Director,Student Services,Student Services,99431
Associate Dean,Social Sciences,Social Sciences,99131
Assistant Professor,Nursing,Nursing Programs,98964
Manager,Human Resources,Human Resources,98907
Director,Foundation/Development,Foundation/Development,98462
Director,Student Equity Inclusion & Sup,Student Equity Inclusion & Sup,98383
Assistant Professor,Energy Production/Distribution,Industrial Technologies,98368
Associate Professor,Nursing,Nursing Programs,98339
Director,Facilities & Security,Facilities & Security,98230
Senior Enterprise System Admin,IT Services,IT Services,98177
Program Developer III,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,98078
Director,Student Life,Student Life,97990
Professor,Nursing,Nursing Programs,97657
Professor,Communication,Communication/English/Media,97645
Director,Workplace Learning Connection,Workplace Learning Connection,97635
Manager,CETS Marketing,Continuing Ed/Training Svcs,97565
Registrar,Enrollment Management,Enrollment Management,97563
Sr Enterprise Software Archite,IT Services,IT Services,97496
Director,Academic Affairs,Academic Affairs,97231
Regional Director,SBDC,Continuing Ed/Training Svcs,97225
Professor,Philosophy,Arts/Humanities,97195
Director,IT Services,IT Services,97128
Director,Vinton Center,Vinton Center,96997
Assistant Professor,Biology,Math/Science,96922
Professor,Spanish,Arts/Humanities,96892
Manager,Human Resources,Human Resources,96799
Professor,Nursing,Nursing Programs,96782
Assistant Professor,Dental Lab Technician,Allied Health,96571
Professor,Humanities,Arts/Humanities,96559
Assistant Professor,Nursing,Nursing Programs,96465
Associate Professor,Automotive Technology,Industrial Technologies,96284
Assistant Professor,American Sign Language,Arts/Humanities,96170
ICCAC Commissioner,ICCAC,ICCAC,96106
Manager,Human Resources,Human Resources,96025
Professor,English,Communication/English/Media,95908
Professor,Spanish,Arts/Humanities,95905
Manager,IT Services,IT Services,95658
Professor,Anthropology,Arts/Humanities,95657
Digital Services Librarian,Library Services,Library Services,95612
Director,Academic Advising,Academic Advising,95342
Director,Inst Effectiveness/Research,Inst Effectiveness/Research,94860
Custodian,Facilities & Security,Facilities & Security,94766
Professor,English,Communication/English/Media,94482
Assistant Professor,Dental Assisting,Allied Health,94301
Professor,Religion,Arts/Humanities,94187
Professor,Philosophy,Arts/Humanities,94124
Professor,Mathematics,Math/Science,94090
Associate Professor,English,Communication/English/Media,93967
Executive Assistant to the President,President's Office,President's Office,93955
Professor,Science,Math/Science,93932
Professor,Dental Tech,Allied Health,93822
Professor,Chemistry,Math/Science,93813
Associate Dean,Communication/English/Media,Communication/English/Media,93811
Assistant Professor,Communication,Communication/English/Media,93784
Supervisor,Human Resources,Human Resources,93765
Academic Advisor,Dean of Students Office,Dean of Students Office,93753
Associate Professor,Philosophy,Arts/Humanities,92999
Major Gifts Officer,Foundation/Development,Foundation/Development,92781
Director,Admissions,Admissions,92704
Professor,Surgical Technology,Allied Health,92614
Assistant Professor,Business Administration,Business and Information Tech,92520
Assistant Professor,Math,Math/Science,92474
Coordinator,Athletics,Athletics,92365
Professor,Mathematics,Math/Science,92314
Assistant Professor,Medical Assisting,Allied Health,92304
Director,Washington Center,Washington Center,92263
Assistant Professor,Biology,Math/Science,92261
Professor,History,Social Sciences,92219
Professor,Psychology,Social Sciences,92070
Instructor,Economics,Social Sciences,91774
Professor,Art,Arts/Humanities,91585
Professor,Agricultural Business,Agricultural Science,91448
Professor,Sociology,Social Sciences,91445
Assistant Professor,American Sign Language,Arts/Humanities,91174
Executive Chef,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,91037
Professor,Humanities,Arts/Humanities,90886
Associate Dean,Agricultural Science,Agricultural Science,90797
Professor,English,Communication/English/Media,90699
Senior Web Developer,IT Services,IT Services,90665
Associate Professor,Ag Production Management,Agricultural Science,90558
Associate Dean,Business and Information Tech,Business and Information Tech,90490
Professor,Communication,Communication/English/Media,90315
Academic Advisor,Dean of Students Office,Dean of Students Office,90299
Senior Systems Administrator,IT Services,IT Services,90255
Manager,Compliance/Reporting,Inst Effectiveness/Research,90199
Associate Professor,Nursing,Nursing Programs,90178
Manager II,Finance,Finance,90027
Senior Systems Administrator,IT Services,IT Services,89981
Manager II,Finance,Finance,89764
Professor,Chemistry,Math/Science,89764
Associate Dean,Nursing Programs,Nursing Programs,89749
Assistant Professor,Biology,Math/Science,89628
Assistant Professor,Speech,Communication/English/Media,89562
Instructor,English,Communication/English/Media,89544
Senior Instructional Designer,Academic Innov Strategy & Des,Academic Innov Strategy & Des,89352
Assistant Professor,Photography,Arts/Humanities,89279
Professor,English,Communication/English/Media,88952
Associate Professor,Nursing,Nursing Programs,88913
Associate Professor,English,Communication/English/Media,88552
Assistant Professor,Medical Assisting,Allied Health,88286
Senior Programmer,IT Services,IT Services,88279
Instructor,LAN/Network,Business and Information Tech,88279
Assistant Professor,Biology,Math/Science,88240
Associate Director,Communications & Marketing,Communications & Marketing,88225
Professor,Math,Math/Science,88097
Instructor,Advanced Manufacturing Academy,Linn County Regional Center,88076
Assistant Professor,Construction Management,Industrial Technologies,88048
Assistant Professor,Communication,Communication/English/Media,87997
Sr Technical Business Analyst,IT Services,IT Services,87993
Adjunct - Management Development,Business and Information Tech,Business and Information Tech,87931
Associate Professor,Hospitality,Hospitality Arts,87781
Prof/Interdis 174,Arts/Humanities,Arts/Humanities,87713
Assistant Professor,Auto Collision,Industrial Technologies,87689
Professor,Developmental Math,Math/Science,87672
Assistant Professor,Auto Technology,Industrial Technologies,87659
Associate Professor,Religion,Arts/Humanities,87466
Instructor,Nursing,Nursing Programs,87446
Assistant Professor,Agriculture,Agricultural Science,87365
Associate Dean,Math/Science,Math/Science,87230
Professor,Mathematics,Math/Science,86965
Assistant Professor,Biology,Math/Science,86538
Professor,Mathematics,Math/Science,86408
Associate Professor,Music,Arts/Humanities,86221
Instructor,Secondary Programs,Secondary Programs,86143
Instructor,Physical Therapy Assistant,Allied Health,85935
Department Coordinator,K-12 Partnerships,K-12 Partnerships,85918
Professor,Architecture,Industrial Technologies,85501
Senior Manager,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,85457
Associate Professor,Biology,Math/Science,85366
Assistant Professor,Chemistry,Math/Science,85355
Associate Professor,Geospatial,Agricultural Science,85164
Operations Coordinator,Finance,Finance,85108
Grounds Maintenance Worker,Facilities & Security,Facilities & Security,85106
Program Director,TRIO,Student Equity Inclusion & Sup,84954
Assistant Professor,Computer Programming,Business and Information Tech,84878
Prof/SDV 174,Arts/Humanities,Arts/Humanities,84873
Professor,English,Communication/English/Media,84803
Professor,ELA,International Programs,84784
Systems Administrator III,IT Services,IT Services,84772
Associate Professor,Exercise Science,Math/Science,84708
Operations Coordinator,Facilities & Security,Facilities & Security,84663
Assistant Professor,Construction Management,Industrial Technologies,84393
Associate Professor,Carpentry,Industrial Technologies,84346
Assistant Professor,Diesel/Auto Technology,Agricultural Science,84166
Senior Manager,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,84054
Assistant Professor,Electronics Engineering Technology,Industrial Technologies,83976
Systems Reporting Analyst III,IT Services,IT Services,83887
Associate Professor,Sociology,Social Sciences,83833
Associate Professor,English,Communication/English/Media,83798
Professor,Communication,Communication/English/Media,83654
Associate Professor,CAD,Industrial Technologies,83546
Catering Sales Manager,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,83418
HR Supervisor,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,82988
Associate Professor,Diesel,Agricultural Science,82799
Program Director,EMS Ed,Continuing Ed/Training Svcs,82543
Instructor,Marketing,Business and Information Tech,82484
Systems Administrator III,IT Services,IT Services,82460
Systems Administrator III,IT Services,IT Services,82404
Manager,Finance,Finance,82054
Instructor,Industrial Maintenance Technology,Industrial Technologies,82014
Assistant Professor,Information Technology,Business and Information Tech,81828
Associate Professor,Mathematics,Math/Science,81808
Associate Professor,Industrial Maintenance Technology,Industrial Technologies,81776
Program Developer II,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,81765
Associate Professor,Agriculture,Agricultural Science,81689
Senior Accountant,Finance,Finance,81684
Professor,Psychology,Social Sciences,81568
Program/Production Director,KCCK-FM Radio Station,KCCK-FM Radio Station,81556
Associate Professor,English,Communication/English/Media,81535
Instructor,Auto Technology,Jones County Regional Center,81505
Assistant Professor,Hospitality,Hospitality Arts,81419
Assistant Professor,Nursing,Nursing Programs,81363
Supervisor,Student Life,Student Life,81339
Facilities Finance Manager,Facilities & Security,Facilities & Security,81324
Associate Professor,Bakery/Pastry,Hospitality Arts,81321
Instructor,Counselor,Dean of Students Office,81261
Senior Manager,Skills to Employment,Skills to Employment,81238
Web Developer III,IT Services,IT Services,81219
Supervisor,Human Resources,Human Resources,81169
Academic Advisor,Academic Advising,Academic Advising,81050
Instructor,English,Communication/English/Media,80906
Instructor,Administrative Management,Business and Information Tech,80818
Assistant Professor,Sociology,Social Sciences,80796
Controls Engineer,Facilities & Security,Facilities & Security,80682
Instructional Designer,Distance Learning,Distance Learning,80656
Associate Professor,Psychology,Social Sciences,80558
Assistant Professor,Music,Arts/Humanities,80528
Manager,Skills to Employment,Skills to Employment,80338
Professor,Business,Business and Information Tech,80284
Instructor,Nursing,Nursing Programs,80218
Senior Manager,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,80139
Assistant Professor,Counselor,Dean of Students Office,79926
Program Developer I,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,79749
Instructor,Nursing,Nursing Programs,79728
Assistant Professor,Culinary Arts,Hospitality Arts,79614
Instructor,Animal Health Technology,Agricultural Science,79204
Assistant Professor,Nursing,Nursing Programs,79147
Instructor,Counselor,Dean of Students Office,79141
Assistant Professor,Nursing,Nursing Programs,79081
Assistant Professor,Math,Math/Science,79011
Digital Services Librarian,Library Services,Library Services,78985
Instructor,HVAC,Industrial Technologies,78901
Instructor,Respiratory Therapy Assistant,Allied Health,78807
Professor,Counselor,Dean of Students Office,78548
Program Developer II,Secondary Programs,Secondary Programs,78538
Supervisor,Academic Advising,Academic Advising,78526
Assistant Professor,Industrial Maintenance Technology,Industrial Technologies,78476
Operations Coordinator,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,78421
Supervisor,Student Services,Student Services,78344
Instructor,Nursing,Nursing Programs,78247
Assistant Professor,Apparel Merchandising,Business and Information Tech,78225
Instructor,English,Communication/English/Media,78137
Instructor,Nursing,Nursing Programs,78039
Instructor,Music,Arts/Humanities,77875
Inst/Auto Car Aca 174,Linn County Regional Center,Linn County Regional Center,77752
Professor,Sociology,Social Sciences,77633
Program Specialist,Skills to Employment,Skills to Employment,77615
Program Manager,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,77599
Data Governance Manager,Inst Effectiveness/Research,Inst Effectiveness/Research,77342
Instructor,Diesel/Auto Technology,Agricultural Science,77319
Manager,Secondary Programs,Secondary Programs,77293
Operations Manager,Agricultural Science,Agricultural Science,77050
Department Coordinator,Nursing Programs,Nursing Programs,77032
Manager,Bookstore,Bookstore,76966
Instructor/Coordinator,Anamosa State Penitentiary,Secondary Programs,76905
Librarian,Library Services,Library Services,76905
Assistant Professor,Advanced Manufacturing,Washington Center,76574
Instructor,Human Anatomy,"Physiology, Math/Science",76570
Instructor,Human Services,Social Sciences,76556
Assistant Professor,Information Technology,Business and Information Tech,76412
Inst/Aircraft Maint Tech 201,Industrial Technologies,Industrial Technologies,76253
Program Director,TRIO,Student Equity Inclusion & Sup,76239
Associate Director,Vinton Center,Vinton Center,76225
Program Director,TRIO,Admissions,76214
Senior Financial Analyst,Finance,Finance,76139
Associate Professor,ELA,International Programs,75913
Program Director,KCCK-FM Radio Station,KCCK-FM Radio Station,75606
Catering Sales Manager,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,75586
Instructor,Counselor,Dean of Students Office,75583
Senior Financial Analyst,Finance,Finance,75571
Associate Professor,Art,Arts/Humanities,75564
Program Director,TRIO,Admissions,75528
Program Developer II,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,75522
Associate Professor,ELA,International Programs,75487
Manager,IEC,Finance,75438
Admissions Advisor,Admissions,Admissions,75328
Housekeeping Manager,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,75276
Senior Financial Analyst,Finance,Finance,75219
Assistant Professor,Auto Technology,Regional Center at U of I,75184
Department Assistant,Agricultural Science,Agricultural Science,75157
Program Developer II,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,75106
Instructor,Accounting,Business and Information Tech,75053
Workforce Career Consultant,Skills to Employment,Skills to Employment,74840
Instructor,Education,Social Sciences,74762
Senior Associate Registrar,Enrollment Management,Enrollment Management,74746
Instructor/Coordinator,IMCC,Secondary Programs,74569
Program Developer II,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,74539
Associate Director,International Programs,International Programs,74516
Professor,Mathematics,Math/Science,74438
Assistant Professor,Horticulture,Agricultural Science,74429
Assistant Professor,ELA,International Programs,74386
Supervisor,Dean of Students Office,Dean of Students Office,74272
Senior Marketing Strategist,Communications & Marketing,Communications & Marketing,74205
Assoc Prof/Comm 174,Communication/English/Media,Communication/English/Media,74175
Inst/Fire Science 174,Social Sciences,Social Sciences,74162
Instructor,ELA,International Programs,73979
Senior Accountant,Finance,Finance,73837
Research Analyst,Inst Effectiveness/Research,Inst Effectiveness/Research,73822
Instructor,Parks/Natural Resources,Agricultural Science,73633
Associate Director,Dean of Students Office,Dean of Students Office,73396
Student Services Specialist,Student Services,Student Services,73244
Instructor,Plumbing Technology,Industrial Technologies,72761
Associate Professor,English,Communication/English/Media,72704
Instructor/Coordinator,Secondary Programs,Secondary Programs,72598
Operations Supervisor,Enrollment Management,Enrollment Management,72526
Department Assistant,International Programs,International Programs,72503
Executive Assistant,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,72417
Manager,Front Office,The Hotel At Kirkwood Center,72415
Instructor,Economics,Social Sciences,72371
Research Analyst,Inst Effectiveness/Research,Inst Effectiveness/Research,72202
Program Specialist,Workplace Learning Connection,Workplace Learning Connection,72063
Instructor,CAD,Industrial Technologies,71863
Senior Graphic Designer/Web Developer,Communications & Marketing,Communications & Marketing,71849
College/Career Transition Counselor II,Admissions,Admissions,71656
Assistant Professor,Art,Arts/Humanities,71623
College/Career Transition Counselor II,Admissions,Admissions,71556
Admissions Advisor,Admissions,Admissions,71364
Assistant Professor,Biology,Math/Science,71347
Assistant Professor,Pre-Engineering,Math/Science,71001
Outreach Coordinator,Business and Information Tech,Business and Information Tech,70760
Workforce Career Consultant,Skills to Employment,Skills to Employment,70582
Instructor,History,Social Sciences,70448
Operations Coordinator,Facilities & Security,Facilities & Security,70093
Academic Advisor,Academic Advising,Academic Advising,70093
Associate Director,Admissions,Admissions,70032
Desktop Configuration Administrator,IT Services,IT Services,69891
Inst/CNC 174,Industrial Technologies,Industrial Technologies,69874
Associate Professor,English,Communication/English/Media,69811
Registered Veterinary Technician,Agricultural Science,Agricultural Science,69717
Coordinator,Student Support,Jones County Regional Center,69600
Coordinator,Orientation,Dean of Students Office,69554
Supervisor,Iowa City,Enrollment Management,69536
Desktop Configuration Admin II,IT Services,IT Services,69505
Assistant Professor,Communication,Communication/English/Media,69451
Specialist,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,69441
Senior Graphic Designer/Supervisor,Communications & Marketing,Communications & Marketing,69364
Program Developer I-Linn Regional,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,69267
Program Developer I,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,69142
Lab Specialist,Math/Science,Math/Science,68921
Instructor,Horticulture,Agricultural Science,68792
Communications Infrastructure Engineer II,IT Services,IT Services,68751
Program Manager,Inst Effectiveness/Research,Inst Effectiveness/Research,68710
Inst/Comp Science 174,Math/Science,Math/Science,68663
College/Career Transition Counselor II,Admissions,Admissions,68628
Program Developer I,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,68588
Assistant Professor,Psychology,Social Sciences,68555
Instructor,ACE,Linn County Regional Center,68555
Program Developer I,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,68540
Sous Chef,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,68471
Financial Analyst,Finance,Finance,68466
Senior Accountant,Finance,Finance,68440
Development Officer,KCCK-FM Radio Station,KCCK-FM Radio Station,68207
Assistant Professor,English,Communication/English/Media,68094
Operations Manager,Facilities & Security,Facilities & Security,67914
Supervisor,Bookstore,Bookstore,67867
Advancement Services Officer,Foundation/Development,Foundation/Development,67693
Senior Accountant,Finance,Finance,67545
Operations Manager,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,67147
Senior Grounds Maintenance,Facilities & Security,Facilities & Security,66774
Instructor,Criminal Justice,Social Sciences,66763
Inst/Aviation Maint 174,Industrial Technologies,Industrial Technologies,66611
Assistant Professor,Economics,Social Sciences,66598
Scholarship & Department Coordinator,Foundation/Development,Foundation/Development,66517
Operations Coordinator,Finance,Finance,66393
Admissions Advisor,Admissions,Admissions,66303
Operations Coordinator,Facilities & Security,Facilities & Security,66177
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,66011
Senior Graphic Designer,Communications & Marketing,Communications & Marketing,65869
Instructor,Human Anatomy,"Physiology, Math/Science",65829
Instructor/Coordinator,Iowa City,Secondary Programs,65642
Supervisor,Dean of Students Office,Dean of Students Office,64993
Application Developer II,IT Services,IT Services,64914
Department Assistant,Agricultural Science,Agricultural Science,64730
Registered Veterinary Technician,Agricultural Science,Agricultural Science,64656
Associate Registrar II,Enrollment Management,Enrollment Management,64491
Executive Assistant,IT Services,IT Services,64469
Supervisor,Enrollment Management,Enrollment Management,64213
Restaurant and Beverage Manager,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,64086
International Admissions Advisor,International Programs,International Programs,64068
Operations Coordinator-IEC,Finance,Finance,64018
Coordinator,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,64001
Operations Coordinator,Industrial Technologies,Industrial Technologies,63966
Advisor,Study Abroad,International Programs,63738
Instructor,Anamosa State Penitentiary,Secondary Programs,63645
Financial Aid Analyst,Enrollment Management,Enrollment Management,63587
Inst/Auto Car Aca 174,Washington Center,Washington Center,63525
Academic Advisor,Academic Advising,Academic Advising,63490
Program Specialist,Skills to Employment,Skills to Employment,63367
Department Assistant,KCCK-FM Radio Station,KCCK-FM Radio Station,63362
Marketing Strategist,Communications & Marketing,Communications & Marketing,63283
College/Career Transition Counselor I,Admissions,Admissions,63230
Operations Coordinator,Business and Information Tech,Business and Information Tech,63149
Program Developer II/Transportation,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,63029
Media Producer,IT Services,IT Services,62912
Application Developer I,IT Services,IT Services,62892
College/Career Transition Counselor I,Admissions,Admissions,62820
Web Developer I,IT Services,IT Services,62804
Textbook Specialist,Bookstore,Bookstore,62779
Web Developer I,IT Services,IT Services,62770
Operations Report Specialist,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,62732
Coordinator,Student Support,Dean of Students Office,62649
Telecommunications Technician,IT Services,IT Services,62605
Marketing Strategist,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,62602
Marketing Strategist,Communications & Marketing,Communications & Marketing,62505
Application Developer I,IT Services,IT Services,62505
Production Specialist,KCCK-FM Radio Station,KCCK-FM Radio Station,62478
Coordinator,Student Support,Washington Center,62422
Compliance Reporting Analyst I,Inst Effectiveness/Research,Inst Effectiveness/Research,62404
Hotel Revenue Manager,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,62216
Compliance Reporting Analyst I,Inst Effectiveness/Research,Inst Effectiveness/Research,61994
Coordinator,Student Support - Ic,Learning Services,61914
Instructor/Coordinator,Iowa City,Secondary Programs,61888
EMCS System Programmer,Facilities & Security,Facilities & Security,61824
Associate Registrar I,Enrollment Management,Enrollment Management,61451
Instructor,Iowa Medical Classification Center,Secondary Programs,61317
Academic Advisor,Academic Advising,Academic Advising,61158
Pathway Navigator,Skills to Employment,Skills to Employment,61038
Operations Coordinator,Arts/Humanities,Arts/Humanities,61018
Instructor/Coordinator,Iowa City,Secondary Programs,60996
Career Coach,Dean of Students Office,Dean of Students Office,60961
Manager,Dean of Students Office,Dean of Students Office,60922
Assistant Commissioner/SID,ICCAC,ICCAC,60816
Media Producer,IT Services,IT Services,60379
Assistant Professor,Art,Arts/Humanities,60363
Lead Transportation Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,60261
Instructor/Coordinator,Secondary Programs,Secondary Programs,60260
Workforce Career Consultant,Skills to Employment,Skills to Employment,60234
Executive Assistant,Student Services,Student Services,60234
Executive Assistant,Academic Affairs,Academic Affairs,60234
Operations Coordinator,Facilities & Security,Facilities & Security,60170
Operations Coordinator,Admissions,Admissions,60137
Hotel Chief Engineer,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,59975
ELA Advisor,International Programs,International Programs,59867
Production Specialist,KCCK-FM Radio Station,KCCK-FM Radio Station,59710
Pathway Navigator,Skills to Employment,Skills to Employment,59581
Pastry Chef,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,59516
Controls Technician,Facilities & Security,Facilities & Security,59455
