title,division,department,salary
Music Producer,KCCK-FM Radio Station,KCCK-FM Radio Station,2968
Sales Associate-Main Campus,Bookstore,Bookstore,2966
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2965
Esl Instructor,Secondary Programs,Secondary Programs,2964
Office Clerk,Dean of Students Office,Dean of Students Office,2958
Work Study-Recreation Center,Recreation Center,Recreation Center,2957
Sales Associate-Main Campus,Bookstore,Bookstore,2941
PT Steward,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,2933
Communique Staff,Social Sciences,Social Sciences,2928
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2920
Pt Server-Restaurant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,2917
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2905
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,2903
Student Support Specialist,Enrollment Management,Enrollment Management,2901
Seasonal Bookstore Associate,Bookstore,Bookstore,2890
Assistant Coach-Women's Basketball,Athletics,Athletics,2889
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,2870
Recreation Associate,Dean of Students Office,Dean of Students Office,2869
Recreation Associate,Dean of Students Office,Dean of Students Office,2867
Pt Server-Restaurant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,2862
Custodian,Facilities & Security,Facilities & Security,2861
Equity in Student Success Coach,Student Equity Inclusion & Sup,Student Equity Inclusion & Sup,2854
Adjunct - Math/Science,Math/Science,Math/Science,2852
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,2845
Temp - Arts & Humanities,Arts/Humanities,Arts/Humanities,2825
Temp - Kcck,KCCK-FM Radio Station,KCCK-FM Radio Station,2820
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2812
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2798
Department Assistant,Business and Information Tech,Business and Information Tech,2797
Office Clerk,Student Life,Student Life,2789
Work Study-Recreation Center,Recreation Center,Recreation Center,2779
PT Guest Service Representataive,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,2777
Test Center Associate,Learning Services,Learning Services,2770
Asst Coach,Mens Basketball ,Athletics,2769
Test Center Associate,Iowa City Campus,Iowa City Campus,2758
Tutor,Instruction,Instruction,2753
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,2746
Sales Associate-Main Campus,Bookstore,Bookstore,2729
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2710
Adjunct - Architectural Technology,Industrial Technologies,Industrial Technologies,2708
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2700
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2675
Adjunct - Physical Therapy Assistant,Allied Health,Allied Health,2668
Work Study-Iowa City Campus,Iowa City Campus,Iowa City Campus,2665
Office Assistant,Williamsburg Center,Williamsburg Center,2664
Work Study Library,Library Services,Library Services,2630
Tutor - Walk-In,Learning Services,Learning Services,2626
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2620
Adjunct - Dental Hygiene,Allied Health,Allied Health,2620
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,2603
Kick_Camp,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2602
PT Steward,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,2582
Work Study-Iowa City Campus,Iowa City Campus,Iowa City Campus,2571
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2559
PT Guest Room Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,2553
Adjunct - Medical Assisting,Allied Health,Allied Health,2544
PT Cafe Prep Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,2538
KICK Camp Manager,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2535
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2530
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2520
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,2515
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2512
Instructor,Secondary Programs,Secondary Programs,2502
Cafe Barista,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,2496
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2485
Work Study - Human Resources,Human Resources,Human Resources,2468
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,2454
Tutor,Instruction,Instruction,2408
PT Linn Hall Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,2407
Temp - Athletics,Athletics,Athletics,2404
KICK Camp Manager,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2393
Work Study-Iowa City Campus,Iowa City Campus,Iowa City Campus,2386
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2375
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,2375
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2365
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2361
Work Study - Dean of Students Office,Dean of Students Office,Dean of Students Office,2359
Esl Instructor,Secondary Programs,Secondary Programs,2349
ICCAC Staff,ICCAC,ICCAC,2344
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,2340
Ag Associate-Greenhouse,Agricultural Science,Agricultural Science,2336
Center Coordinator,Tipton Center,Tipton Center,2333
Public Safety Dispatcher,Facilities & Security,Facilities & Security,2316
Work Study-Student Life,Student Life,Student Life,2306
